cod_bna,nombre,tipo_estacion,vigencia,region,comuna,cuenca,altitud,latitud,longitud
05415003-2,Estero San Francisco Antes Estero Jahuel,Calidad de Aguas,Suspendidas,Región de Valparaíso,Comuna de Santa María,Rio Aconcagua,700,-32.73718734,-70.6354397
05415004-0,Jahuel,Meteorológicas,Vigentes,Región de Valparaíso,Comuna de Santa María,Rio Aconcagua,1020,-32.6872716,-70.59648484
05415008-3,Perfil San Felipe,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de San Felipe,Rio Aconcagua,634,-32.73630529,-70.73392996
05415010-5,Apr Higueral,Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de San Esteban,Rio Aconcagua,0,-32.76746668,-70.55671944
05420002-1,Estero De Los Campos En Antes Junta Rio Aconcagua,Calidad de Aguas,Suspendidas,Región de Valparaíso,Comuna de Panquehue,Rio Aconcagua,550,-32.80492392,-70.9008841
05420003-K,Rio Aconcagua En Puente Catemu (Ca),Calidad de Aguas,Suspendidas,Región de Valparaíso,Comuna de Catemu,Rio Aconcagua,405,-32.78718934,-70.9521394
05420004-8,Rio Aconcagua En Panquehue (Ca),Fluviométricas,Suspendidas,Región de Valparaíso,Comuna de San Felipe,Rio Aconcagua,510,-32.7505007,-70.83342926
05420005-6,Estero Lo Campo En Lo Campo (Ca),Fluviométricas,Vigentes,Región de Valparaíso,Comuna de Panquehue,Rio Aconcagua,450,-32.80473079,-70.91945057
05420006-4,Fundo Santa Adriana,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Panquehue,Rio Aconcagua,525,-32.77221762,-70.82913475
05420007-2,Hijuela Principal,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Panquehue,Rio Aconcagua,549,-32.75661954,-70.80895258
05420008-0,Fundicion Chagres,Control de Nivel,Suspendidas,Región de Valparaíso,Comuna de Catemu,Rio Aconcagua,419,-32.80050137,-70.95093542
05420009-9,Fundo San Roque,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Panquehue,Rio Aconcagua,217,-32.79265447,-70.86215185
05420010-2,Apr San Roque,Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de Panquehue,Rio Aconcagua,0,-32.78162071,-70.85816385
05420011-0,Rio Aconcagua En Panquehue,Fluviométricas,Vigentes,Región de Valparaíso,Comuna de Catemu,Rio Aconcagua,453,-32.79583663,-70.91250034
05421001-9,Estero Catemu Antes Junta Rio Aconcagua,Calidad de Aguas,Suspendidas,Región de Valparaíso,Comuna de Catemu,Rio Aconcagua,510,-32.80603179,-70.99429505
05421002-7,Estero Catemu En Puente Santa Rosa,Fluviométricas,Vigentes,Región de Valparaíso,Comuna de Catemu,Rio Aconcagua,510,-32.77830682,-70.97738526
05421004-3,Estero Catemu En Catemu (Ca),Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de Catemu,Rio Aconcagua,400,-32.77050598,-70.96879041
05421005-1,Catemu,Meteorológicas,Vigentes,Región de Valparaíso,Comuna de Catemu,Rio Aconcagua,440,-32.75794611,-70.9426101
05421007-8,Apr Los Corrales,Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de Catemu,Rio Aconcagua,0,-32.75909921,-70.97670431
05422001-4,Estero Las Vegas En Desembocadura,Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de Llaillay,Rio Aconcagua,0,-32.83930019,-71.00052983
05422002-2,Las Chilcas,Meteorológicas,Vigentes,Región de Valparaíso,Comuna de Llaillay,Rio Aconcagua,850,-32.86616385,-70.84827737
